physical_record_id,station_id,station_name,city_band,zone,site_type,operator_code,connector_capacity,operating_start_hour,operating_end_hour,is_24x7,commission_date,station_status,latitude_band,longitude_band,source_system
STNREC000001,STN0001,Hyderabad Central Charge Hub 001,Hyderabad,Central,PUBLIC_PARKING,OP01,5,0,24,True,2024-09-22,ACTIVE,8.1547,72.2576,CHARGEIQ_STATION_MASTER
STNREC000002,STN0002,Bengaluru East Charge Hub 002,Bengaluru,East,RESIDENTIAL_CLUSTER,OP02,9,8,21,False,2022-08-05,ACTIVE,10.8783,73.19,CHARGEIQ_STATION_MASTER
STNREC000003,STN0003,Pune Highway Corridor Charge Hub 003,Pune,Highway Corridor,HIGHWAY_STOP,OP03,9,0,24,True,2024-07-17,ACTIVE,13.2756,74.4205,CHARGEIQ_STATION_MASTER
STNREC000004,STN0004,Chennai North Charge Hub 004,Chennai,North,METRO_HUB,OP04,6,5,21,False,2022-03-25,ACTIVE,15.9653,75.3892,CHARGEIQ_STATION_MASTER
STNREC000005,STN0005,Delhi NCR West Charge Hub 005,Delhi NCR,West,OFFICE_PARK,OP05,7,5,22,False,2022-08-20,ACTIVE,19.0464,76.7768,CHARGEIQ_STATION_MASTER
STNREC000006,STN0006,Mumbai Transit District Charge Hub 006,Mumbai,Transit District,MALL,OP06,7,6,23,False,2024-04-21,ACTIVE,21.7653,78.0782,CHARGEIQ_STATION_MASTER
STNREC000007,STN0007,Ahmedabad South Charge Hub 007,Ahmedabad,South,PUBLIC_PARKING,OP01,7,0,24,True,2025-06-06,ACTIVE,24.4565,79.0601,CHARGEIQ_STATION_MASTER
STNREC000008,STN0008,Kochi Outer Ring Charge Hub 008,Kochi,Outer Ring,PUBLIC_PARKING,OP02,5,0,24,True,2024-07-06,ACTIVE,26.7678,80.104,CHARGEIQ_STATION_MASTER
STNREC000009,STN0009,Hyderabad Central Charge Hub 009,Hyderabad,Central,RESIDENTIAL_CLUSTER,OP03,6,5,23,False,2024-04-12,ACTIVE,8.1414,72.0337,CHARGEIQ_STATION_MASTER
STNREC000010,STN0010,Bengaluru East Charge Hub 010,Bengaluru,East,HIGHWAY_STOP,OP04,8,0,24,True,2022-07-28,ACTIVE,10.5148,73.354,CHARGEIQ_STATION_MASTER
STNREC000011,STN0011,Pune Highway Corridor Charge Hub 011,Pune,Highway Corridor,METRO_HUB,OP05,5,5,23,False,2023-12-05,ACTIVE,13.1998,74.5594,CHARGEIQ_STATION_MASTER
STNREC000012,STN0012,Chennai North Charge Hub 012,Chennai,North,OFFICE_PARK,OP06,6,0,24,True,2025-06-15,ACTIVE,16.1548,75.3946,CHARGEIQ_STATION_MASTER
STNREC000013,STN0013,Delhi NCR West Charge Hub 013,Delhi NCR,West,MALL,OP01,7,5,21,False,2022-04-03,ACTIVE,18.8649,76.9239,CHARGEIQ_STATION_MASTER
STNREC000014,STN0014,Mumbai Transit District Charge Hub 014,Mumbai,Transit District,PUBLIC_PARKING,OP02,5,0,24,True,2024-09-09,ACTIVE,21.7664,78.1697,CHARGEIQ_STATION_MASTER
STNREC000015,STN0015,Ahmedabad South Charge Hub 015,Ahmedabad,South,PUBLIC_PARKING,OP03,7,0,24,True,2025-04-14,ACTIVE,23.9386,79.2564,CHARGEIQ_STATION_MASTER
STNREC000016,STN0016,Kochi Outer Ring Charge Hub 016,Kochi,Outer Ring,RESIDENTIAL_CLUSTER,OP04,7,7,21,False,2024-06-27,ACTIVE,26.8492,80.3754,CHARGEIQ_STATION_MASTER
STNREC000017,STN0017,Hyderabad Central Charge Hub 017,Hyderabad,Central,HIGHWAY_STOP,OP05,9,0,24,True,2024-04-13,ACTIVE,7.86,72.2131,CHARGEIQ_STATION_MASTER
STNREC000018,STN0018,Bengaluru East Charge Hub 018,Bengaluru,East,METRO_HUB,OP06,5,0,24,True,2022-02-07,ACTIVE,10.7258,73.4787,CHARGEIQ_STATION_MASTER
STNREC000019,STN0019,Pune Highway Corridor Charge Hub 019,Pune,Highway Corridor,OFFICE_PARK,OP01,5,0,24,True,2025-02-20,ACTIVE,13.1654,74.6525,CHARGEIQ_STATION_MASTER
STNREC000020,STN0020,Chennai North Charge Hub 020,Chennai,North,MALL,OP02,5,6,21,False,2023-11-09,ACTIVE,15.8826,75.7965,CHARGEIQ_STATION_MASTER
STNREC000021,STN0021,Delhi NCR West Charge Hub 021,Delhi NCR,West,PUBLIC_PARKING,OP03,6,0,24,True,2025-07-11,ACTIVE,18.7403,77.0449,CHARGEIQ_STATION_MASTER
STNREC000022,STN0022,Mumbai Transit District Charge Hub 022,Mumbai,Transit District,PUBLIC_PARKING,OP04,4,0,24,True,2025-04-11,ACTIVE,21.2592,78.1212,CHARGEIQ_STATION_MASTER
STNREC000023,STN0023,Ahmedabad South Charge Hub 023,Ahmedabad,South,RESIDENTIAL_CLUSTER,OP05,5,7,21,False,2023-11-16,ACTIVE,24.3905,78.9938,CHARGEIQ_STATION_MASTER
STNREC000024,STN0024,Kochi Outer Ring Charge Hub 024,Kochi,Outer Ring,HIGHWAY_STOP,OP06,8,0,24,True,2022-01-17,ACTIVE,26.8946,80.1575,CHARGEIQ_STATION_MASTER
STNREC000025,STN0025,Hyderabad Central Charge Hub 025,Hyderabad,Central,METRO_HUB,OP01,6,5,23,False,2022-11-06,ACTIVE,8.0987,72.0625,CHARGEIQ_STATION_MASTER
STNREC000026,STN0026,Bengaluru East Charge Hub 026,Bengaluru,East,OFFICE_PARK,OP02,9,6,23,False,2022-02-14,ACTIVE,10.5325,73.4089,CHARGEIQ_STATION_MASTER
STNREC000027,STN0027,Pune Highway Corridor Charge Hub 027,Pune,Highway Corridor,MALL,OP03,6,0,24,True,2024-02-08,ACTIVE,13.4337,74.6402,CHARGEIQ_STATION_MASTER
STNREC000028,STN0028,Chennai North Charge Hub 028,Chennai,North,PUBLIC_PARKING,OP04,6,0,24,True,2022-09-12,ACTIVE,16.0565,75.4763,CHARGEIQ_STATION_MASTER
STNREC000029,STN0029,Delhi NCR West Charge Hub 029,Delhi NCR,West,PUBLIC_PARKING,OP05,5,0,24,True,2025-04-29,ACTIVE,18.9034,76.6736,CHARGEIQ_STATION_MASTER
STNREC000030,STN0030,Mumbai Transit District Charge Hub 030,Mumbai,Transit District,RESIDENTIAL_CLUSTER,OP06,7,7,23,False,2023-04-16,ACTIVE,21.3689,77.7327,CHARGEIQ_STATION_MASTER
STNREC000031,STN0031,Ahmedabad South Charge Hub 031,Ahmedabad,South,HIGHWAY_STOP,OP01,6,0,24,True,2022-06-05,ACTIVE,24.2018,79.2729,CHARGEIQ_STATION_MASTER
STNREC000032,STN0032,Kochi Outer Ring Charge Hub 032,Kochi,Outer Ring,METRO_HUB,OP02,7,0,24,True,2025-07-05,ACTIVE,26.8326,80.2229,CHARGEIQ_STATION_MASTER
